分类目录,文件名,来源,建议投放位置,裁切区域xyxy
01_全局框架与导航,01_启动页主卡组件.png,大梁江湖trpg_ui资源总览.png,启动层/首页主入口/继续进程/创建房间/加入房间,"(150, 60, 470, 385)"
01_全局框架与导航,02_房间创建与加入组件.png,大梁江湖trpg_ui资源总览.png,房间系统/创建房间面板/加入房间面板,"(490, 50, 880, 405)"
01_全局框架与导航,03_顶部横向导航条_三样式.png,大梁江湖trpg_ui资源总览.png,通用顶栏导航/玩家与DM共用导航条,"(900, 55, 1410, 360)"
01_全局框架与导航,04_左右侧栏模块卡_四样式.png,大梁江湖trpg_ui资源总览.png,左侧信息栏/右侧摘要栏/任务与回合小面板,"(160, 430, 615, 740)"
01_全局框架与导航,05_中部主舞台大容器_两样式.png,大梁江湖trpg_ui资源总览.png,交锋舞台/场景舞台/地图或场景容器,"(625, 430, 1410, 745)"
01_全局框架与导航,06_弹窗确认提示框_五样式.png,大梁江湖trpg_ui资源总览.png,确认框/警告框/输入弹窗/系统公告,"(160, 745, 1410, 930)"
01_全局框架与导航,07_底部资源操作条_三样式.png,大梁江湖trpg_ui资源总览.png,底部快捷栏/货币资源条/导航页签条,"(160, 930, 1410, 1045)"
02_交锋与裁定,01_交锋中心圆盘与阵盘_四款.png,交锋与裁定_资源板设计图.png,交锋中心/战盘核心/势盘/攻守盘,"(170, 40, 810, 290)"
02_交锋与裁定,02_敌我角色对峙卡组六款.png,交锋与裁定_资源板设计图.png,玩家卡/敌人卡/公开情报卡/隐藏情报卡/队友卡/广播卡,"(410, 300, 1290, 500)"
02_交锋与裁定,03_DM裁定面板标题与按钮组.png,交锋与裁定_资源板设计图.png,DM裁定面板/结果按钮组/失败成功状态按钮,"(165, 520, 745, 705)"
02_交锋与裁定,04_行动牌资源_十二款.png,交锋与裁定_资源板设计图.png,起手/连招/绝招/截击/应招/调息/返照/周天轮转等,"(765, 520, 1325, 705)"
02_交锋与裁定,05_日志条目样式_五款.png,交锋与裁定_资源板设计图.png,日志回放/广播记录/历史记录条,"(165, 720, 805, 870)"
02_交锋与裁定,06_进度条资源_四款.png,交锋与裁定_资源板设计图.png,解密值/巡检注意/逃离危机/压力值等进度条,"(805, 720, 1315, 860)"
02_交锋与裁定,07_势与状态资源.png,交锋与裁定_资源板设计图.png,六势状态图标/异常状态/攻防位图标,"(155, 875, 1325, 1040)"
03_气息系统与六根,01_气息系统区域与容器样式.png,气息系统与古风ui设计.png,气池/气海/锁气/息库/临气区标题牌与大容器,"(40, 55, 820, 455)"
03_气息系统与六根,02_气骰卡片_代币_小徽记.png,气息系统与古风ui设计.png,阴骰/阳骰/原始气骰/临时气骰卡片与代币,"(845, 45, 1390, 470)"
03_气息系统与六根,03_气骰类型与策略显示.png,气息系统与古风ui设计.png,阴骰/阳骰/原始气骰/临时气骰的状态示意,"(40, 505, 480, 755)"
03_气息系统与六根,04_六根与异常状态图标.png,气息系统与古风ui设计.png,头部顶门/眼/心口/丹田/腰/腿及封穴受创等,"(500, 500, 860, 760)"
03_气息系统与六根,05_内功法门身法外功分类牌.png,气息系统与古风ui设计.png,内功/法门/身法/外功分类切换,"(880, 500, 1385, 760)"
03_气息系统与六根,06_古风骰面资源_各骰阶.png,气息系统与古风ui设计.png,d6/d8/d10/d12/d20古风数字骰面,"(40, 760, 860, 1045)"
03_气息系统与六根,07_交互元素_卡牌与标记.png,气息系统与古风ui设计.png,选中骰子卡牌/投掷结果牌/锁气标记/来源标记,"(890, 760, 1390, 1045)"
04_角色物品地图资料,01_角色头像框与头像占位.png,卷轴战盘风ui资源集.png,玩家/敌人/NPC/DM广播/旁观者头像框,"(25, 55, 735, 335)"
04_角色物品地图资料,02_角色卡框与属性小块.png,卷轴战盘风ui资源集.png,角色详情面板/属性区/状态按钮,"(790, 60, 1395, 370)"
04_角色物品地图资料,03_背包分类标题牌.png,卷轴战盘风ui资源集.png,武器/护具/药物/器具/杂物/线索/掉落物分页,"(30, 350, 1395, 490)"
04_角色物品地图资料,04_通用物品图标.png,卷轴战盘风ui资源集.png,背包图标/卡牌图标/地图拾取物,"(30, 490, 1395, 615)"
04_角色物品地图资料,05_地图与场景封面资源.png,卷轴战盘风ui资源集.png,雨夜石桥/客栈/山道/城门/密林等场景封面,"(30, 620, 1395, 770)"
04_角色物品地图资料,06_资料库门派奇遇任务日志世界观.png,卷轴战盘风ui资源集.png,资料页分页标题牌与小徽记,"(25, 770, 1395, 920)"
04_角色物品地图资料,07_空状态牌.png,卷轴战盘风ui资源集.png,空列表/暂无敌人/暂无物品/未开始场景,"(25, 920, 1395, 1060)"
05_骰子投掷与结果,01_投掷弹窗大容器_三款.png,骰子投掷与结果展示设计图.png,投骰弹窗/投骰主舞台/结果展示弹层,"(25, 70, 815, 330)"
05_骰子投掷与结果,02_投掷盘_骰托_结果展框_四款.png,骰子投掷与结果展示设计图.png,投骰盘背景/骰托/结果展框/空面板,"(850, 70, 1410, 330)"
05_骰子投掷与结果,03_单骰双骰多骰结果牌.png,骰子投掷与结果展示设计图.png,单骰结果/双骰结果/多骰结果,"(30, 350, 1410, 505)"
05_骰子投掷与结果,04_骰子近景展示卡.png,骰子投掷与结果展示设计图.png,阴骰/阳骰/原始气骰近景展示,"(30, 505, 630, 710)"
05_骰子投掷与结果,05_结果徽章与数字印章.png,骰子投掷与结果展示设计图.png,阴阳气结果徽章/成功失败/吉凶/数字印章,"(670, 505, 1385, 705)"
05_骰子投掷与结果,06_投掷操作按钮组.png,骰子投掷与结果展示设计图.png,投掷/重投/确认/收起按钮,"(30, 710, 815, 870)"
05_骰子投掷与结果,07_投掷动画关键帧示意.png,骰子投掷与结果展示设计图.png,投骰对象动画流程参考,"(690, 720, 1390, 860)"
05_骰子投掷与结果,08_特效底板资源.png,骰子投掷与结果展示设计图.png,气流/阴阳/原始气涡流底板,"(30, 875, 1410, 1045)"
06_清单说明,卷轴战盘风_ui_设计规范.png,卷轴战盘风_ui_设计规范.png,风格参考/不建议直接切图投产,原图
06_清单说明,卷轴战盘风ui设计规范.png,卷轴战盘风ui设计规范.png,风格参考/不建议直接切图投产,原图
06_清单说明,武侠桌游_ui_设计参考.png,武侠桌游_ui_设计参考.png,风格参考/不建议直接切图投产,原图
06_清单说明,武侠桌游ui设计参考图.png,武侠桌游ui设计参考图.png,风格参考/不建议直接切图投产,原图
